     V_pop;   1.00000;  -0.00142;   0.39927;  -0.00136;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    KA_pop;  -0.00142;   1.00000;  -0.02208;   0.00773;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
    CL_pop;   0.39927;  -0.02208;   1.00000;   0.01394;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
  TLAG_pop;  -0.00136;   0.00773;   0.01394;   1.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000
   omega_V;   0.00000;   0.00000;   0.00000;   0.00000;   1.00000;  -0.00496;   0.15949;  -0.00176;   0.21458;   0.00000;  -0.07038
  omega_KA;   0.00000;   0.00000;   0.00000;   0.00000;  -0.00496;   1.00000;  -0.00591;  -0.02775;   0.01053;  -0.00000;  -0.04778
  omega_CL;   0.00000;   0.00000;   0.00000;   0.00000;   0.15949;  -0.00591;   1.00000;  -0.00305;   0.25873;  -0.00000;  -0.02116
omega_TLAG;   0.00000;   0.00000;   0.00000;   0.00000;  -0.00176;  -0.02775;  -0.00305;   1.00000;   0.00490;  -0.00000;  -0.03080
corr(V,CL);   0.00000;   0.00000;   0.00000;   0.00000;   0.21458;   0.01053;   0.25873;   0.00490;   1.00000;   0.00000;   0.03273
         a;   0.00000;   0.00000;   0.00000;   0.00000;   0.00000;  -0.00000;  -0.00000;  -0.00000;   0.00000;   1.00000;  -0.00009
         b;   0.00000;   0.00000;   0.00000;   0.00000;  -0.07038;  -0.04778;  -0.02116;  -0.03080;   0.03273;  -0.00009;   1.00000
